STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10001,1,0,1,5,1050,4,1,2011,3,16,51,1,31.93380833,-85.13751944,0,1,0,17,2,0,0,0,1,1
1,10002,1,0,1,73,1750,4,1,2011,3,23,40,0,33.54500833,-86.65259444,0,1,0,23,50,0,0,0,1,0
1,10003,2,0,5,97,2100,5,1,2011,4,9,14,0,30.70789444,-88.17341667,2,2,0,9,16,0,0,0,2,1
1,10005,1,0,1,15,100,8,1,2011,7,15,35,0,33.67650278,-85.84126667,0,1,0,15,40,0,0,0,1,0
1,10006,1,0,2,71,2850,8,1,2011,7,6,16,1,34.78365556,-85.88662778,0,1,0,6,16,0,0,0,1,0
1,10007,2,0,3,101,2130,11,1,2011,3,18,50,1,32.32708889,-86.24123056,0,1,0,19,1,0,0,0,1,0
1,10008,1,0,2,9,2330,13,1,2011,5,4,40,0,33.96973611,-86.49295833,0,1,0,5,8,0,0,0,2,0
1,10009,1,2,2,97,2100,14,1,2011,6,14,45,0,30.697775,-88.106225,0,1,0,14,49,0,0,0,1,0
1,10010,1,0,1,71,2850,15,1,2011,7,2,55,0,34.88033889,-85.85936667,0,1,0,2,12,0,0,0,1,1
1,10011,2,0,2,127,0,1,1,2011,7,6,20,1,33.69312778,-87.12245,1,2,0,6,15,0,0,0,1,0
1,10012,1,1,2,83,170,1,1,2011,7,18,50,0,34.79766389,-86.98327778,0,1,0,18,57,0,0,0,1,0
1,10013,1,0,1,89,2368,2,1,2011,1,16,0,0,34.58037778,-86.43711389,0,1,0,16,10,0,0,0,1,0
1,10014,1,1,1,79,0,2,1,2011,1,0,10,0,34.52971667,-87.19844444,0,1,0,0,20,0,0,0,1,0
1,10015,1,0,1,7,0,3,1,2011,2,7,10,0,33.09127222,-87.05174722,0,1,0,7,34,0,0,0,1,0
1,10016,2,0,3,89,1730,3,1,2011,2,10,35,0,34.69465278,-86.70711944,6,1,0,10,41,0,0,0,1,0
1,10017,1,1,1,45,2380,4,1,2011,3,17,11,0,31.43933611,-85.64306667,0,1,0,17,20,0,0,0,1,0
1,10018,1,0,2,115,0,7,1,2011,6,3,13,1,33.778925,-86.42184722,0,1,0,3,40,0,0,0,1,1
1,10019,1,0,1,77,0,9,1,2011,1,6,30,0,34.95936667,-87.73246111,0,1,0,88,88,0,0,0,1,0
1,10020,1,0,1,85,0,9,1,2011,1,20,0,0,32.17369722,-86.49901389,0,3,0,88,88,0,0,0,1,0
1,10021,1,0,2,127,0,11,1,2011,3,13,35,0,33.92328611,-87.62214167,0,2,0,14,16,0,0,0,1,0
1,10022,2,0,3,113,0,13,1,2011,5,15,31,0,32.29405556,-85.00741667,1,1,0,15,36,0,0,0,1,0
1,10023,1,0,1,65,0,13,1,2011,5,21,20,0,32.56312222,-87.60552222,0,1,0,22,7,0,0,0,1,1
1,10024,1,0,1,129,0,14,1,2011,6,11,45,0,31.60381389,-88.140125,0,1,0,12,5,0,0,0,1,0
1,10025,1,0,1,123,0,14,1,2011,6,8,47,0,32.69619444,-85.78767778,0,1,0,8,58,0,0,0,1,0
1,10026,1,0,1,55,0,15,1,2011,7,13,40,0,33.9715,-85.76480278,0,10,0,13,50,0,0,0,1,1
1,10027,2,0,3,101,2130,15,1,2011,7,8,35,1,32.38362222,-86.32224167,7,1,0,8,40,0,0,0,1,0
1,10028,2,0,5,77,0,15,1,2011,7,15,0,1,34.84573333,-87.37903056,1,1,0,15,7,0,0,0,1,1
1,10029,2,0,5,97,0,15,1,2011,7,18,30,0,30.588925,-88.20487778,2,1,0,18,26,0,0,0,1,0
1,10030,2,0,7,97,0,15,1,2011,7,17,50,0,30.92023889,-88.19949722,8,1,0,18,10,0,0,0,2,0
1,10031,1,0,1,97,0,16,1,2011,1,7,10,0,30.96880556,-88.13633611,0,1,0,7,39,0,0,0,1,0
1,10032,1,0,1,103,0,16,1,2011,1,22,56,0,34.55935833,-86.60732778,0,1,0,23,10,20,0,0,1,0
1,10033,1,0,1,15,0,17,1,2011,2,22,25,0,33.8861,-85.73808889,0,1,0,22,40,0,0,0,1,0
1,10034,1,0,1,51,0,18,1,2011,3,16,55,0,32.65684722,-86.16439722,0,1,0,17,15,0,0,0,1,1
1,10035,3,0,6,81,2340,21,1,2011,6,16,57,1,32.69008056,-85.31914722,2,1,0,17,6,0,0,0,3,0
1,10036,2,0,2,125,0,21,1,2011,6,11,20,0,33.33995833,-87.32289722,8,1,0,11,40,0,0,0,1,0
1,10037,1,0,1,61,0,21,1,2011,6,22,0,0,30.99847778,-86.13230833,0,1,0,22,26,0,0,0,1,1
1,10038,2,0,3,1,2540,22,1,2011,7,0,36,1,32.48224444,-86.43003333,6,1,0,0,42,0,0,0,1,1
1,10039,1,0,2,61,0,26,1,2011,4,8,32,0,31.06396389,-85.52200833,0,1,0,8,37,0,0,0,1,0
1,10040,3,0,4,43,0,26,1,2011,4,22,20,0,34.28533889,-86.58630833,6,1,0,22,38,0,0,0,1,0
1,10041,1,1,1,71,2720,28,1,2011,6,3,40,1,34.65951389,-86.00728611,0,1,0,3,43,0,0,0,1,1
1,10042,2,0,4,59,0,28,1,2011,6,21,35,1,34.40106667,-87.75263056,6,1,0,22,13,0,0,0,1,1
1,10043,1,1,1,89,1730,30,1,2011,1,17,31,0,34.77855556,-86.61659444,0,1,0,17,36,0,0,0,1,0
1,10044,2,0,2,47,2760,1,2,2011,3,7,43,1,32.433025,-87.04915833,2,1,0,7,49,0,0,0,1,0
1,10045,3,1,3,97,2100,2,2,2011,4,19,28,1,30.67595556,-88.17791111,0,10,0,19,33,0,0,0,1,2
1,10046,1,0,3,73,1716,3,2,2011,5,23,10,1,33.34139167,-86.90065278,0,2,0,23,24,0,0,0,1,1
1,10047,1,1,1,95,0,1,2,2011,3,11,46,0,34.36302778,-86.42168611,0,2,0,11,52,0,0,0,1,0
1,10048,1,0,1,41,0,5,2,2011,7,0,33,0,31.91059722,-86.24069167,0,2,0,1,3,20,0,0,1,1
1,10049,1,0,1,73,350,18,1,2011,3,0,47,1,33.48348333,-86.82628056,0,1,0,0,57,0,0,0,1,0
1,10050,1,0,1,73,350,19,1,2011,4,17,45,0,33.48848611,-86.81599167,0,1,0,17,51,0,0,0,1,0
1,10051,2,1,1,73,350,10,2,2011,5,13,39,0,33.50008333,-86.852375,1,1,0,13,46,0,0,0,1,0
1,10052,3,0,3,117,0,2,2,2011,4,17,15,0,33.32151667,-86.61775833,2,1,0,17,55,0,0,0,1,0
1,10053,1,0,1,131,0,3,2,2011,5,19,40,0,31.95354722,-87.18656667,0,1,0,88,88,0,0,0,1,1
1,10054,2,0,5,115,0,3,2,2011,5,14,55,1,33.75290833,-86.27563611,6,3,0,16,7,0,0,0,2,0
1,10055,1,0,1,73,0,3,2,2011,5,19,0,1,33.771425,-86.82873889,0,3,0,19,5,0,0,0,1,0
1,10056,2,0,3,77,0,4,2,2011,6,9,40,0,34.81912222,-87.75011944,6,3,0,10,55,0,0,0,2,1
1,10057,1,0,4,119,0,4,2,2011,6,2,15,1,32.48189167,-88.35272778,0,3,0,2,52,0,0,0,1,0
1,10058,1,0,3,79,0,5,2,2011,7,2,40,0,34.43050556,-87.22849444,0,2,0,3,24,0,0,0,1,1
1,10059,2,0,4,37,0,6,2,2011,1,15,25,0,33.03529167,-86.05468611,2,1,0,16,8,0,0,0,1,0
1,10060,2,0,4,3,860,6,2,2011,1,4,36,0,30.60391389,-87.8983,6,1,0,4,47,0,0,0,1,0
1,10061,1,0,1,85,0,7,2,2011,2,2,45,0,32.14350556,-86.60701667,0,1,0,3,6,0,0,0,1,1
1,10062,3,0,3,5,0,8,2,2011,3,6,10,0,31.79581667,-85.25596667,2,1,0,6,38,0,0,0,2,0
1,10063,1,0,1,97,0,10,2,2011,5,19,12,0,30.39183056,-88.10945,0,1,0,19,33,0,0,0,1,1
1,10064,2,0,2,3,0,10,2,2011,5,17,30,0,30.83516389,-87.8823,1,1,0,19,14,0,0,0,1,0
1,10065,3,0,6,115,0,10,2,2011,5,6,50,0,33.63916944,-86.37416944,2,4,0,7,29,0,0,0,1,0
1,10066,1,0,1,83,0,11,2,2011,6,1,0,0,34.95525556,-86.78977222,0,1,0,1,30,0,0,0,1,1
1,10067,1,0,3,67,0,11,2,2011,6,14,50,0,31.522325,-85.26761667,0,1,0,14,59,0,0,0,1,0
1,10068,1,0,1,71,0,11,2,2011,6,21,10,0,34.89818889,-85.77724722,0,1,0,19,35,0,0,0,1,1
1,10069,1,0,2,71,0,11,2,2011,6,9,25,0,34.81335278,-85.73111389,0,1,0,10,0,0,0,0,1,0
1,10070,1,0,1,81,0,11,2,2011,6,19,51,0,32.71113333,-85.17842778,0,1,0,20,5,0,0,0,1,1
1,10071,2,0,4,89,0,11,2,2011,6,18,53,0,34.78685,-86.5186,2,1,0,19,10,0,0,0,1,0
1,10072,1,0,2,119,0,12,2,2011,7,3,10,0,32.65822778,-88.16608889,0,1,0,88,88,0,0,0,2,1
1,10073,2,0,3,57,0,13,2,2011,1,19,50,1,33.63981944,-87.65742222,2,1,0,20,23,0,0,0,2,0
1,10074,3,0,5,35,0,14,2,2011,2,7,35,0,31.40135833,-86.87833889,1,1,0,7,58,0,0,0,1,0
1,10075,1,0,1,133,0,15,2,2011,3,12,10,1,34.119125,-87.607125,0,1,0,12,33,0,0,0,1,1
1,10076,1,0,3,89,1730,19,2,2011,7,0,39,0,34.75103611,-86.63567222,0,1,0,0,51,0,0,0,1,0
1,10077,2,0,3,101,2130,3,2,2011,5,11,8,1,32.36841667,-86.21068333,6,1,0,11,12,0,0,0,1,0
1,10078,1,1,6,95,50,6,2,2011,1,17,40,1,34.24138056,-86.17068056,0,1,0,17,48,0,0,0,1,0
1,10079,1,0,3,97,2100,15,2,2011,3,5,20,1,30.69791944,-88.12425556,0,10,0,5,31,0,0,0,1,1
1,10080,1,0,1,73,3125,19,2,2011,7,6,0,0,33.48513056,-86.711075,0,1,0,5,29,0,0,0,1,0
1,10081,1,0,1,125,718,9,1,2011,1,17,38,0,33.17419722,-87.36531944,0,3,0,17,45,0,0,0,1,0
1,10082,4,0,8,97,0,29,1,2011,7,18,35,0,30.71417778,-88.31724722,7,1,0,18,54,0,0,0,1,0
1,10083,3,0,4,73,20,14,2,2011,2,12,14,1,33.57603056,-86.91144722,1,1,0,12,23,0,0,0,1,0
1,10084,3,0,3,55,2719,23,2,2011,4,7,34,0,34.18148333,-86.10098611,1,1,0,7,43,0,0,0,1,0
1,10085,1,0,1,123,2226,26,2,2011,7,17,0,0,33.04304444,-85.77918889,0,1,0,17,40,0,0,0,1,0
1,10086,2,0,2,113,0,10,2,2011,5,16,5,0,32.23244167,-85.12016111,6,1,0,16,20,0,0,0,1,0
1,10087,2,0,6,53,0,18,2,2011,6,22,0,0,31.04879722,-87.49290833,6,1,0,23,1,0,0,0,2,1
1,10088,2,0,2,77,0,18,2,2011,6,12,0,0,34.8744,-87.28270833,2,10,0,12,18,0,0,0,1,0
1,10089,2,0,3,33,0,18,2,2011,6,15,0,1,34.70008611,-87.64063333,6,10,0,15,10,0,0,0,1,0
1,10090,1,0,3,3,0,19,2,2011,7,17,30,1,30.60161667,-87.55499444,0,1,0,18,30,0,0,0,1,1
1,10091,1,1,1,47,0,21,2,2011,2,0,20,0,32.3707,-87.00571111,0,1,0,0,50,0,0,0,1,0
1,10092,1,0,1,121,0,21,2,2011,2,15,30,1,33.10548056,-86.22815,0,1,0,15,46,0,0,0,1,0
1,10093,1,0,1,25,0,22,2,2011,3,18,20,0,31.976375,-87.92026944,0,1,0,18,40,0,0,0,1,1
1,10094,1,0,3,35,0,22,2,2011,3,10,15,1,31.49696111,-86.93175556,0,1,0,10,31,0,0,0,1,0
1,10095,3,0,6,125,0,22,2,2011,3,11,38,0,33.17345278,-87.25068333,1,1,0,11,55,0,0,0,2,0
1,10096,1,1,1,95,0,22,2,2011,3,21,5,0,34.23138611,-86.12076944,0,1,0,88,88,0,0,0,1,1
1,10097,1,1,1,85,0,24,2,2011,5,5,30,0,32.18163333,-86.80066667,0,10,0,5,42,0,0,0,1,0
1,10098,3,0,6,43,0,26,2,2011,7,14,35,1,34.1724,-86.89028889,2,1,0,15,2,0,0,0,2,0
1,10099,1,0,1,13,0,27,2,2011,1,21,0,0,31.952125,-86.85396111,0,1,0,23,30,0,0,0,1,1
1,10100,2,0,2,73,330,14,2,2011,2,15,49,0,33.39252778,-86.94991667,6,1,0,15,53,0,0,0,1,0
1,10101,1,1,2,95,1500,4,3,2011,6,18,24,1,34.30586667,-86.28963889,0,1,0,18,26,0,0,0,1,0
1,10102,1,0,1,97,0,2,3,2011,4,17,55,0,30.49486111,-88.18990556,0,1,0,18,24,0,0,0,1,1
1,10103,3,0,3,3,0,3,3,2011,5,21,40,1,30.68689722,-88.00650833,0,1,0,22,4,0,0,0,1,0
1,10104,2,0,4,33,0,3,3,2011,5,17,50,1,34.70374722,-87.6347,2,10,0,17,58,0,0,0,1,0
1,10105,2,0,3,101,0,5,3,2011,7,2,48,1,32.43458056,-86.21918056,6,2,0,2,56,0,0,0,1,1
1,10106,1,0,1,119,0,5,3,2011,7,13,45,0,32.54470556,-88.19883333,0,2,0,88,88,0,0,0,1,0
1,10107,1,0,1,83,0,6,3,2011,1,21,50,0,34.97045278,-87.13761111,0,1,0,22,16,0,0,0,1,1
1,10108,3,0,7,97,0,5,3,2011,7,10,35,1,30.574225,-88.182225,6,10,0,11,1,0,0,0,1,0
1,10109,2,0,3,109,0,7,3,2011,2,17,10,0,31.74426389,-85.86184444,2,1,0,17,21,0,0,0,3,0
1,10110,2,0,4,129,0,8,3,2011,3,11,14,0,31.37796944,-88.20463611,2,1,0,11,52,0,0,0,2,0
1,10111,2,0,3,111,0,11,3,2011,6,18,42,0,33.30796111,-85.44950278,2,1,0,18,47,0,0,0,1,0
1,10112,1,0,1,81,0,14,3,2011,2,16,15,0,32.46717222,-85.40274722,0,1,0,16,25,0,0,0,1,0
1,10113,2,0,4,97,0,13,3,2011,1,20,55,1,30.82233889,-88.16524167,6,1,0,21,2,0,0,0,1,1
1,10114,4,0,5,97,0,14,3,2011,2,15,35,0,30.63570556,-88.24946111,1,1,0,15,47,0,0,0,1,0
1,10115,2,0,2,93,0,17,3,2011,5,7,45,0,34.24094167,-87.72606667,2,1,0,8,7,0,0,0,1,0
1,10116,1,0,1,77,0,17,3,2011,5,20,0,0,34.89170278,-87.69445833,0,1,0,20,15,0,0,0,1,1
1,10117,2,0,2,125,3050,9,2,2011,4,8,44,0,33.15918056,-87.54888611,7,1,0,8,47,0,0,0,1,0
1,10118,2,0,3,97,2550,23,2,2011,4,20,26,0,30.73994444,-88.08338889,2,10,0,19,52,0,0,0,1,1
1,10119,2,0,2,97,0,25,2,2011,6,22,16,0,30.58345278,-88.20702778,6,1,0,22,21,20,0,0,1,0
1,10120,2,0,4,73,0,16,2,2011,4,1,35,1,33.65905833,-86.70914444,6,1,0,1,54,0,0,0,1,0
1,10121,3,1,3,125,2260,4,3,2011,6,5,40,1,33.25025278,-87.60299444,0,1,0,5,47,0,0,0,1,0
1,10122,2,0,4,43,830,8,3,2011,3,10,22,1,34.17274167,-86.84798056,6,10,0,10,25,0,0,0,1,0
1,10123,1,0,1,87,3070,10,3,2011,5,6,32,0,32.43688889,-85.67366111,0,10,0,88,88,0,0,0,1,1
1,10124,3,0,4,89,1730,13,3,2011,1,18,29,0,34.79295278,-86.59859444,6,10,0,18,36,0,0,0,1,0
1,10125,1,0,1,71,2850,15,3,2011,3,18,17,0,34.89378056,-85.77256944,0,1,0,18,25,0,0,0,1,0
1,10126,2,0,2,15,0,2,3,2011,4,10,38,0,33.75010556,-85.85333056,6,1,0,11,40,0,0,0,1,0
1,10127,3,0,3,97,0,4,3,2011,6,17,15,0,30.76872222,-88.22564444,8,10,0,17,18,0,0,0,1,0
1,10128,1,0,1,47,0,5,3,2011,7,5,30,0,32.47305833,-86.88818611,0,2,0,7,17,0,0,0,1,1
1,10129,1,0,1,21,2990,5,3,2011,7,18,8,0,32.90291944,-86.70292222,0,2,0,18,18,0,0,0,1,0
1,10130,2,0,5,7,0,5,3,2011,7,13,45,1,32.891875,-87.21488056,2,2,0,13,58,0,0,0,1,0
1,10131,1,0,1,91,0,6,3,2011,1,3,15,0,32.34978333,-87.64189722,0,2,0,3,30,0,0,0,1,0
1,10132,1,0,1,9,0,9,3,2011,4,5,45,0,34.08611111,-86.50215278,0,2,0,6,20,0,0,0,1,0
1,10133,1,0,1,97,0,12,3,2011,7,4,0,0,30.52109444,-88.30447778,0,1,0,3,45,0,0,0,1,0
1,10134,1,0,1,53,0,12,3,2011,7,3,10,0,31.21299444,-87.11791389,0,1,0,3,46,0,0,0,1,1
1,10135,3,0,9,83,0,13,3,2011,1,13,43,1,34.76217778,-86.84599167,1,10,0,13,55,0,0,0,1,0
1,10136,1,0,1,71,2720,16,3,2011,4,22,54,1,34.62236667,-86.09077778,0,1,0,23,8,0,0,0,1,0
1,10137,2,0,2,89,1970,12,3,2011,7,2,30,0,34.67851389,-86.74731389,6,10,0,2,39,0,0,0,1,0
1,10138,2,0,2,73,1716,20,3,2011,1,0,33,1,33.39449167,-86.784975,2,1,0,0,49,19,0,0,1,0
1,10139,2,0,6,21,2990,20,3,2011,1,17,16,0,32.91288333,-86.71971111,8,1,0,17,19,0,0,0,1,0
1,10140,1,0,1,13,1350,21,3,2011,2,12,43,0,31.64740278,-86.72494167,0,1,0,12,47,0,0,0,1,0
1,10141,2,0,2,55,1370,23,3,2011,4,5,40,1,33.94172222,-85.91716389,6,1,0,6,0,0,0,0,1,1
1,10142,1,1,1,97,2550,25,3,2011,6,20,17,1,30.75541944,-88.1192,0,1,0,20,18,0,0,0,1,0
1,10143,1,1,2,97,2100,25,3,2011,6,19,35,0,30.685475,-88.14458333,0,1,0,19,43,0,0,0,1,0
1,10144,1,0,1,97,2100,26,3,2011,7,4,5,0,30.65325278,-88.13914722,0,5,0,4,15,0,0,0,1,1
1,10145,2,0,2,71,2720,18,3,2011,6,2,30,1,34.63607778,-86.05671389,1,1,0,2,51,0,0,0,1,1
1,10146,1,0,3,67,0,19,3,2011,7,4,20,0,31.40057222,-85.18494167,0,1,0,7,16,0,0,0,3,0
1,10147,3,0,3,105,0,19,3,2011,7,23,35,0,32.495575,-87.39694722,2,1,0,0,6,0,0,0,1,1
1,10148,1,0,1,127,0,19,3,2011,7,2,10,0,33.84018056,-87.331025,0,1,0,88,88,0,0,0,1,0
1,10149,1,0,1,33,0,20,3,2011,1,3,20,0,34.66466389,-87.63418333,0,1,0,88,88,0,0,0,1,0
1,10150,1,0,4,97,0,21,3,2011,2,7,35,1,30.51833056,-88.274825,0,1,0,7,50,0,0,0,1,0
1,10151,1,0,1,91,0,22,3,2011,3,11,45,0,32.26313056,-87.8882,0,1,0,12,15,0,0,0,1,0
1,10152,2,0,1,9,0,23,3,2011,4,5,15,0,34.03448056,-86.57509722,1,1,0,5,30,0,0,0,1,0
1,10153,1,0,2,89,1730,23,3,2011,4,0,22,1,34.75905,-86.56176111,0,1,0,0,34,0,0,0,1,0
1,10154,2,0,2,125,3050,24,3,2011,5,9,40,0,33.235925,-87.51402778,6,1,0,9,50,0,0,0,1,0
1,10155,2,0,2,95,0,24,3,2011,5,8,57,0,34.36837778,-86.468325,6,10,0,9,15,0,0,0,1,0
1,10156,1,0,1,9,0,25,3,2011,6,5,0,0,33.95398611,-86.66496389,0,1,0,5,33,0,0,0,1,0
1,10157,1,0,5,73,0,25,3,2011,6,17,50,1,33.68793333,-86.83035833,0,1,0,18,8,0,0,0,1,0
1,10158,1,0,2,97,0,25,3,2011,6,3,35,0,30.99681389,-88.125125,0,1,0,4,10,0,0,0,1,1
1,10159,2,0,2,71,0,25,3,2011,6,14,2,0,34.84047222,-85.75423611,2,1,0,14,13,0,0,0,1,1
1,10160,3,0,8,21,0,26,3,2011,7,15,5,1,32.73063056,-86.53885556,2,2,0,15,40,0,0,0,5,1
1,10161,1,0,1,131,0,26,3,2011,7,6,0,0,31.86743611,-87.42188333,0,1,0,10,58,0,0,0,1,0
1,10162,3,0,6,55,3170,27,3,2011,1,13,23,1,34.06604444,-86.28254444,1,10,0,13,27,0,0,0,1,0
1,10163,2,0,2,39,0,27,3,2011,1,13,45,0,31.44231111,-86.61312222,6,2,0,14,3,0,0,0,1,0
1,10164,2,0,3,121,0,28,3,2011,2,14,45,0,33.527425,-85.95186944,6,10,0,15,1,0,0,0,1,0
1,10165,2,0,2,133,0,29,3,2011,3,6,20,0,34.01630278,-87.21474167,2,10,0,6,56,0,0,0,1,0
1,10166,1,0,3,97,0,29,3,2011,3,15,0,0,30.858,-88.32585,0,10,0,15,40,0,0,0,1,0
1,10167,1,0,1,7,0,30,3,2011,4,14,0,0,32.97629444,-86.97581944,0,1,0,15,0,0,0,0,1,0
1,10168,2,0,2,121,0,2,4,2011,7,0,15,1,33.58510833,-85.90574722,7,1,0,0,37,0,0,0,1,1
1,10169,1,0,1,57,0,2,4,2011,7,21,20,1,33.62791389,-87.66069444,0,1,0,22,2,0,0,0,1,1
1,10170,1,1,3,101,2130,26,2,2011,7,0,50,0,32.348175,-86.22161389,0,1,0,1,3,0,0,0,1,1
1,10171,1,2,1,73,2170,23,2,2011,4,0,50,1,33.47311944,-86.76542778,0,1,0,0,59,0,0,0,1,0
1,10172,1,0,1,73,0,22,3,2011,3,2,59,0,33.62942778,-86.90760556,0,1,0,3,11,0,0,0,1,0
1,10173,1,0,2,87,0,16,3,2011,4,23,25,0,32.48876944,-85.80016389,0,1,0,6,33,0,0,0,1,0
1,10174,2,0,5,115,0,20,3,2011,1,17,28,0,33.54682222,-86.44342222,8,1,0,18,8,0,0,0,1,1
1,10175,1,0,1,73,1270,2,4,2011,7,6,15,1,33.59628333,-86.80657222,0,1,0,6,22,0,0,0,1,0
1,10176,2,0,2,73,1315,29,3,2011,3,11,30,1,33.64935833,-86.83119444,6,10,0,11,33,0,0,0,1,0
1,10177,2,0,2,73,2170,7,3,2011,2,7,54,1,33.48087778,-86.77575833,1,1,0,7,56,0,0,0,1,0
1,10178,3,0,3,73,1716,2,4,2011,7,15,17,1,33.35436944,-86.853275,9,1,0,15,30,0,0,0,1,0
1,10179,2,0,2,81,2340,8,4,2011,6,7,18,1,32.632075,-85.37145,1,10,0,7,25,0,0,0,1,0
1,10180,1,0,1,33,2190,8,4,2011,6,16,52,0,34.74989444,-87.664825,0,1,0,99,99,0,0,0,1,0
1,10181,1,0,3,43,9997,4,4,2011,2,17,53,0,34.05701389,-86.87941111,0,10,0,18,3,0,0,0,1,1
1,10182,1,0,1,115,0,8,4,2011,6,7,0,1,33.80826389,-86.36053611,0,10,0,7,20,0,0,0,1,0
1,10183,3,0,7,37,0,6,4,2011,4,16,9,0,33.03055,-86.05815,6,1,0,16,20,0,0,0,2,1
1,10184,1,1,1,129,0,6,4,2011,4,20,50,0,31.25082778,-88.00506944,0,1,0,21,15,0,0,0,1,0
1,10185,1,0,1,33,0,9,4,2011,7,10,45,1,34.74497222,-87.94084722,0,1,0,10,50,0,0,0,1,0
1,10186,1,0,1,63,0,9,4,2011,7,2,15,0,32.97051667,-87.90389722,0,10,0,88,88,0,0,0,1,0
1,10187,2,0,4,101,0,9,4,2011,7,9,30,0,32.25114444,-86.30127778,8,10,0,9,35,0,0,0,1,0
1,10188,1,0,2,97,0,10,4,2011,1,23,15,0,30.80554167,-88.25114722,0,1,0,23,28,0,0,0,2,1
1,10189,1,0,1,7,0,13,4,2011,4,22,52,0,33.07198889,-87.1295,0,1,0,88,88,0,0,0,1,0
1,10190,1,0,1,97,0,15,4,2011,6,0,1,0,30.37866111,-88.18007778,0,10,0,8,48,0,0,0,1,1
1,10191,2,0,2,55,1670,21,4,2011,5,12,20,1,33.98470278,-85.88834444,6,1,0,12,11,0,0,0,1,0
1,10192,3,0,3,117,2405,6,4,2011,4,12,14,0,33.33248333,-86.79141389,7,1,0,12,29,0,0,0,1,1
1,10193,1,0,1,77,0,10,4,2011,1,6,40,0,34.98767222,-87.81322222,0,1,0,7,15,0,0,0,1,0
1,10194,1,0,1,31,0,11,4,2011,2,14,30,0,31.50065556,-86.12219167,0,1,0,15,18,0,0,0,1,0
1,10195,3,0,3,97,2100,11,4,2011,2,8,45,0,30.68775278,-88.12878611,6,10,0,8,50,0,0,0,1,0
1,10196,1,0,1,111,0,12,4,2011,3,21,10,0,33.24391111,-85.52661111,0,1,0,88,88,0,0,0,1,0
1,10197,1,1,1,89,0,12,4,2011,3,20,50,0,34.89668611,-86.66479167,0,1,0,21,5,0,0,0,1,0
1,10198,1,0,1,1,0,14,4,2011,5,2,15,1,32.54197778,-86.64403611,0,1,0,2,51,0,0,0,1,0
1,10199,2,0,5,89,0,15,4,2011,6,23,15,1,34.976125,-86.56927222,6,1,0,23,21,0,0,0,1,0
1,10200,1,0,1,55,0,16,4,2011,7,19,50,0,34.09632778,-85.902475,0,10,0,20,10,0,0,0,1,1
1,10201,2,0,3,97,0,16,4,2011,7,14,0,0,30.66139444,-88.22543889,2,1,0,14,17,0,0,0,1,1
1,10202,1,0,2,121,0,19,4,2011,3,12,20,0,33.47274722,-86.20391667,0,1,0,12,59,0,0,0,1,0
1,10203,2,0,2,89,0,20,4,2011,4,16,7,0,34.86416389,-86.64267778,6,1,0,16,17,0,0,0,1,0
1,10204,2,0,4,127,0,23,4,2011,7,23,15,0,33.81893889,-87.15218056,6,1,0,23,30,0,0,0,1,0
1,10205,2,0,9,83,0,23,4,2011,7,13,53,1,34.79564722,-87.12478889,2,1,0,13,25,0,0,0,1,0
1,10206,1,0,1,25,0,23,4,2011,7,19,30,0,31.79676389,-87.62317778,0,1,0,20,13,0,0,0,1,1
1,10207,1,0,1,49,1351,27,4,2011,4,2,30,0,34.37406389,-85.99434722,0,99,0,9,40,0,0,0,1,0
1,10208,1,0,2,73,0,9,4,2011,7,0,36,0,33.45869167,-87.15936944,0,1,0,1,19,0,0,0,1,0
1,10209,1,0,1,65,0,10,4,2011,1,14,25,0,32.57947778,-87.59306667,0,1,0,14,45,0,0,0,1,1
1,10210,1,0,1,63,0,15,4,2011,6,12,25,0,32.90099167,-87.97036111,0,10,0,12,38,0,0,0,1,1
1,10211,1,0,1,87,0,30,4,2011,7,6,30,0,32.29007222,-85.84279167,0,1,0,7,39,0,0,0,1,1
1,10212,1,0,1,123,0,18,4,2011,2,20,21,0,32.49528333,-85.86915,0,1,0,88,88,0,0,0,1,1
1,10213,2,0,2,87,0,20,4,2011,4,8,20,1,32.44681389,-85.51130278,6,1,0,8,51,0,0,0,1,0
1,10214,1,1,1,33,0,22,4,2011,6,22,40,1,34.65744444,-87.53640278,0,1,0,88,88,23,0,0,1,0
1,10215,2,0,9,15,0,23,4,2011,7,7,30,1,33.61690556,-85.73485833,7,10,0,7,45,0,0,0,1,0
1,10216,1,0,1,29,0,24,4,2011,1,19,4,0,33.66928333,-85.409775,0,1,0,19,24,0,0,0,1,1
1,10217,2,0,5,127,0,29,4,2011,6,11,25,0,33.81826944,-87.15139722,1,1,0,12,9,0,0,0,1,0
1,10218,1,1,1,73,350,10,4,2011,1,19,14,0,33.52234444,-86.84459167,0,1,0,19,22,0,0,0,1,0
1,10219,2,0,2,45,2050,5,5,2011,5,7,52,0,31.31592778,-85.50322778,6,1,0,8,0,0,0,0,1,0
1,10220,2,0,2,117,770,6,5,2011,6,8,33,0,33.19449167,-86.59154444,2,1,0,8,59,0,0,0,1,0
